Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-02-10,615.0,642.65,603.3,638.3,629.86,3368.0,314.0,2121364.0,1911.0,56.74,39.35,23.3
2016-02-09,620.0,626.0,618.05,620.0,620.19,1444.0,71.0,895556.0,1134.0,78.53,7.95,0.0
2016-02-08,622.5,631.95,617.0,628.85,627.13,4899.0,309.0,3072292.0,3851.0,78.61,14.95,6.35
2016-02-05,645.0,648.5,605.0,625.25,626.34,122063.0,1380.0,76453051.0,103561.0,84.84,43.5,-19.75
2016-02-04,631.0,649.15,626.1,643.05,637.52,2310.0,185.0,1472682.0,963.0,41.69,23.05,12.05
2016-02-03,638.0,650.0,631.0,642.75,638.55,3360.0,270.0,2145539.0,1851.0,55.09,19.0,4.75
2016-02-02,643.8,661.45,640.0,649.7,653.16,7080.0,517.0,4624376.0,3241.0,45.78,21.45,5.9
2016-02-01,640.0,647.55,631.5,638.0,641.1,1742.0,116.0,1116798.0,1201.0,68.94,16.05,-2.0
2016-01-29,639.8,640.5,625.0,635.95,635.41,701.0,93.0,445423.0,255.0,36.38,15.5,-3.85
2016-01-28,652.3,653.0,629.6,637.2,636.99,1136.0,81.0,723617.0,745.0,65.58,23.4,-15.1
2016-01-27,665.0,673.05,641.2,644.75,660.03,2607.0,208.0,1720698.0,665.0,25.51,31.85,-20.25
2016-01-25,638.5,670.0,638.5,650.55,653.59,3132.0,273.0,2047036.0,1898.0,60.6,31.5,12.05
2016-01-22,622.2,642.9,621.6,638.65,634.49,2795.0,276.0,1773411.0,1674.0,59.89,21.3,16.45
2016-01-21,611.0,618.8,611.0,615.75,615.77,2181.0,114.0,1342989.0,1514.0,69.42,7.8,4.75
2016-01-20,600.0,612.95,589.0,607.15,600.79,3770.0,261.0,2264971.0,2425.0,64.32,23.95,7.15
2016-01-19,605.3,610.5,600.0,606.65,605.42,2054.0,136.0,1243535.0,1279.0,62.27,10.5,1.35
2016-01-18,622.6,622.6,559.95,610.05,596.62,17114.0,1018.0,10210629.0,8279.0,48.38,62.65,-12.55
2016-01-15,630.0,645.0,620.05,622.6,631.69,2671.0,243.0,1687243.0,1825.0,68.33,24.95,-7.4
2016-01-14,634.1,644.4,618.05,626.1,632.79,4044.0,260.0,2559005.0,1885.0,46.61,26.35,-8.0
2016-01-13,659.0,663.0,614.8,640.4,640.31,5640.0,324.0,3611321.0,1958.0,34.72,48.2,-18.6
2016-01-12,673.0,675.7,650.0,655.85,661.12,1429.0,103.0,944745.0,1070.0,74.88,25.7,-17.15
2016-01-11,671.6,682.0,667.0,672.35,673.3,2041.0,184.0,1374207.0,1076.0,52.72,15.0,0.75
2016-01-08,688.0,689.15,679.25,683.95,686.17,1449.0,108.0,994259.0,758.0,52.31,9.9,-4.05
2016-01-07,674.5,683.95,670.0,679.35,677.2,2401.0,185.0,1625964.0,1469.0,61.18,13.95,4.85
2016-01-06,677.0,685.05,677.0,680.05,680.87,1292.0,104.0,879690.0,930.0,71.98,8.05,3.05
2016-01-05,689.4,695.0,684.0,684.95,685.71,3382.0,62.0,2319077.0,3082.0,91.13,11.0,-4.45
2016-01-04,699.5,702.0,688.75,689.4,693.08,4235.0,252.0,2935194.0,2872.0,67.82,13.25,-10.1
2016-01-01,690.95,698.6,686.0,693.15,694.29,3236.0,177.0,2246728.0,2078.0,64.22,12.6,2.2
2015-12-31,675.0,693.8,675.0,690.35,685.94,8665.0,358.0,5943690.0,5041.0,58.18,18.8,15.35
